x_m;y_m;w_tr_right_m;w_tr_left_m;z_m
0.00000000;0.00000000;6.00000000;6.00000000;0.00000000
4.28322014;-7.00171000;6.00000000;6.00000000;0.00000000
8.56643413;-14.00342000;6.00000000;6.00000000;0.00000000
12.84964195;-21.00514000;6.00000000;6.00000000;0.00000000
17.13284362;-28.00686000;6.00000000;6.00000000;0.00000000
21.41603914;-35.00859000;6.00000000;6.00000000;0.00000000
25.69922849;-42.01033000;6.00000000;6.00000000;0.00000000
29.98241169;-49.01208000;6.00000000;6.00000000;0.10000000
34.26558873;-56.01383000;6.00000000;6.00000000;0.10000000
38.54875961;-63.01559000;6.00000000;6.00000000;0.00000000
42.87059554;-69.97458000;6.00000000;6.00000000;0.00000000
47.28122494;-76.83555000;6.00000000;6.00000000;0.00000000
51.59566791;-83.80394000;6.00000000;6.00000000;0.00000000
55.91010483;-90.77234000;6.00000000;6.00000000;0.00000000
60.22486573;-97.74074000;6.00000000;6.00000000;0.00000000
64.53914996;-104.70915000;6.00000000;6.00000000;0.00000000
68.85337928;-111.67757000;6.00000000;6.00000000;0.10000000
73.16779199;-118.64599000;6.00000000;6.00000000;0.10000000
77.48219866;-125.61442000;6.00000000;6.00000000;0.20000000
81.79659927;-132.58286000;6.00000000;6.00000000;0.20000000
86.11099384;-139.55130000;6.00000000;6.00000000;0.20000000
90.42538235;-146.51975000;6.00000000;6.00000000;0.10000000
94.73986573;-153.48821000;6.00000000;6.00000000;0.00000000
99.05414123;-160.45667000;6.00000000;6.00000000;0.00000000
103.36851110;-167.42529000;6.00000000;6.00000000;0.00000000
107.68287540;-174.39377000;6.00000000;6.00000000;0.00000000
111.99723360;-181.36225000;6.00000000;6.00000000;0.00000000
116.31158530;-188.33090000;6.00000000;6.00000000;0.00000000
120.62593150;-195.29939000;6.00000000;6.00000000;0.00000000
124.94027110;-202.26805000;6.00000000;6.00000000;0.00000000
129.25460510;-209.23656000;6.00000000;6.00000000;0.00000000
133.56893260;-216.20523000;6.00000000;6.00000000;0.00000000
137.88292880;-223.17375000;6.00000000;6.00000000;0.00000000
142.19757000;-230.14244000;6.00000000;6.00000000;0.00000000
146.51187930;-237.11113000;6.00000000;6.00000000;0.00000000
150.82618310;-244.07967000;6.00000000;6.00000000;0.00000000
155.14048030;-251.04837000;6.00000000;6.00000000;0.00000000
159.45477150;-258.01708000;6.00000000;6.00000000;0.10000000
163.76905660;-264.98580000;6.00000000;6.00000000;0.10000000
168.08333570;-271.95452000;6.00000000;6.00000000;0.10000000
172.39760870;-278.92325000;6.00000000;6.00000000;0.10000000
176.71187570;-285.89199000;6.00000000;6.00000000;0.00000000
181.02586570;-292.86073000;6.00000000;6.00000000;0.00000000
185.34039150;-299.82948000;6.00000000;6.00000000;0.00000000
189.65464030;-306.79824000;6.00000000;6.00000000;0.00000000
193.96960910;-313.76701000;6.00000000;6.00000000;0.00000000
198.28311980;-320.73577000;6.00000000;6.00000000;0.10000000
202.53166880;-327.77239000;6.00000000;6.00000000;0.20000000
206.63411000;-334.96010000;6.00000000;6.00000000;0.30000000
211.05838460;-341.80270000;6.00000000;6.00000000;0.40000000
215.56110920;-348.56114000;6.00000000;6.00000000;0.50000000
220.05433120;-355.33020000;6.00000000;6.00000000;0.60000000
224.39101660;-362.27485000;6.00000000;6.00000000;0.70000000
228.72769650;-369.21936000;6.00000000;6.00000000;0.80000000
233.06436990;-376.16402000;6.00000000;6.00000000;0.90000000
235.87392280;-384.04828000;6.00000000;6.00000000;1.00000000
237.11581890;-392.89700000;6.00000000;6.00000000;1.00000000
238.18578360;-401.73031000;6.00000000;6.00000000;1.00000000
236.00622480;-410.26716000;6.00000000;6.00000000;1.00000000
233.82665390;-418.80416000;6.00000000;6.00000000;1.00000000
230.40286010;-426.40293000;6.00000000;6.00000000;1.00000000
225.40991120;-432.55919000;6.00000000;6.00000000;1.00000000
220.41695840;-438.71559000;6.00000000;6.00000000;1.00000000
215.54938480;-445.04297000;6.00000000;6.00000000;1.00000000
210.16941190;-450.58542000;6.00000000;6.00000000;1.00000000
204.83431890;-456.21105000;6.00000000;6.00000000;1.00000000
199.68426020;-462.13830000;6.00000000;6.00000000;1.10000000
194.53419850;-468.06554000;6.00000000;6.00000000;1.10000000
189.38413390;-473.99277000;6.00000000;6.00000000;1.00000000
184.23406640;-479.91999000;6.00000000;6.00000000;1.00000000
179.08399590;-485.84721000;6.00000000;6.00000000;1.00000000
173.93386570;-491.77442000;6.00000000;6.00000000;1.00000000
168.78386570;-497.70147000;6.00000000;6.00000000;1.00000000
163.63386570;-503.62867000;6.00000000;6.00000000;1.20000000
158.48368550;-509.55586000;6.00000000;6.00000000;1.30000000
153.33360110;-515.48289000;6.00000000;6.00000000;1.40000000
148.12163490;-521.31432000;6.00000000;6.00000000;1.60000000
142.85371120;-527.05849000;6.00000000;6.00000000;1.70000000
137.58586570;-532.80250000;6.00000000;6.00000000;1.80000000
132.31754570;-538.54666000;6.00000000;6.00000000;2.00000000
127.04945960;-544.29065000;6.00000000;6.00000000;2.00000000
121.78186570;-550.03465000;6.00000000;6.00000000;2.00000000
116.76031470;-556.14883000;6.00000000;6.00000000;2.00000000
112.18775080;-562.82453000;6.00000000;6.00000000;2.00000000
107.84383680;-569.78284000;6.00000000;6.00000000;2.00000000
103.49986570;-576.74115000;6.00000000;6.00000000;2.00000000
99.15644751;-583.69945000;6.00000000;6.00000000;2.00000000
94.81205898;-590.65774000;6.00000000;6.00000000;2.00000000
90.46786573;-597.61603000;6.00000000;6.00000000;2.10000000
87.00416317;-605.36806000;6.00000000;6.00000000;2.20000000
83.64597265;-613.21536000;6.00000000;6.00000000;2.30000000
80.28777261;-621.06282000;6.00000000;6.00000000;2.40000000
76.90734941;-628.89321000;6.00000000;6.00000000;2.40000000
73.41122819;-636.63554000;6.00000000;6.00000000;2.10000000
70.33759889;-644.64185000;6.00000000;6.00000000;2.00000000
67.98445604;-653.09855000;6.00000000;6.00000000;2.00000000
65.63130242;-661.55510000;6.00000000;6.00000000;2.00000000
63.27813698;-670.01179000;6.00000000;6.00000000;2.20000000
61.51738625;-678.64740000;6.00000000;6.00000000;2.80000000
60.81854315;-687.60353000;6.00000000;6.00000000;3.30000000
60.11986573;-696.55966000;6.00000000;6.00000000;3.60000000
59.42081703;-705.51579000;6.00000000;6.00000000;3.80000000
58.72186573;-714.47207000;6.00000000;6.00000000;4.00000000
59.12938881;-723.40716000;6.00000000;6.00000000;4.20000000
59.99702633;-732.33380000;6.00000000;6.00000000;4.40000000
60.86465117;-741.26028000;6.00000000;6.00000000;4.60000000
61.90606652;-750.14477000;6.00000000;6.00000000;4.80000000
63.47766366;-758.90096000;6.00000000;6.00000000;5.00000000
65.21772103;-767.59431000;6.00000000;6.00000000;4.90000000
67.33865127;-776.14573000;6.00000000;6.00000000;4.90000000
69.47121168;-784.69195000;6.00000000;6.00000000;4.90000000
71.67594378;-793.20632000;6.00000000;6.00000000;5.00000000
73.88066433;-801.72070000;6.00000000;6.00000000;5.10000000
76.08547305;-810.23508000;6.00000000;6.00000000;5.40000000
78.29007077;-818.74946000;6.00000000;6.00000000;5.70000000
80.58184846;-827.22355000;6.00000000;6.00000000;6.00000000
82.87670803;-835.69627000;6.00000000;6.00000000;6.30000000
85.17155675;-844.16884000;6.00000000;6.00000000;6.50000000
87.46639354;-852.64157000;6.00000000;6.00000000;6.70000000
89.67520219;-861.15413000;6.00000000;6.00000000;6.80000000
91.87986762;-869.66854000;6.00000000;6.00000000;6.90000000
94.08452151;-878.18295000;6.00000000;6.00000000;7.10000000
96.28916384;-886.69737000;6.00000000;6.00000000;7.30000000
98.56422911;-895.17916000;6.00000000;6.00000000;7.60000000
100.85903410;-903.65191000;6.00000000;6.00000000;7.90000000
103.15382780;-912.12467000;6.00000000;6.00000000;8.30000000
105.44886570;-920.59743000;6.00000000;6.00000000;8.70000000
107.70806880;-929.08674000;6.00000000;6.00000000;9.10000000
109.95693650;-937.58096000;6.00000000;6.00000000;9.30000000
112.20579280;-946.07519000;6.00000000;6.00000000;9.60000000
114.45486570;-954.56941000;6.00000000;6.00000000;9.80000000
116.70347090;-963.06365000;6.00000000;6.00000000;10.10000000
118.95229270;-971.55788000;6.00000000;6.00000000;10.30000000
121.20110310;-980.05213000;6.00000000;6.00000000;10.50000000
123.45067880;-988.54637000;6.00000000;6.00000000;10.70000000
125.67282150;-997.05242000;6.00000000;6.00000000;10.80000000
127.87737670;-1005.56689000;6.00000000;6.00000000;10.90000000
130.08186570;-1014.08152000;6.00000000;6.00000000;11.00000000
132.28686570;-1022.59601000;6.00000000;6.00000000;11.40000000
134.17787520;-1031.22578000;6.00000000;6.00000000;11.80000000
136.38386570;-1039.61618000;6.00000000;6.00000000;12.20000000
139.95241970;-1047.28248000;6.00000000;6.00000000;12.60000000
143.52160370;-1054.94879000;6.00000000;6.00000000;12.90000000
146.60781830;-1062.91009000;6.00000000;6.00000000;13.20000000
149.84293850;-1070.72111000;6.00000000;6.00000000;13.40000000
153.78786570;-1078.05983000;6.00000000;6.00000000;13.60000000
157.73341730;-1085.39855000;6.00000000;6.00000000;13.90000000
162.80562620;-1091.36517000;6.00000000;6.00000000;14.10000000
168.04425520;-1097.12941000;6.00000000;6.00000000;14.40000000
173.28288220;-1102.89350000;6.00000000;6.00000000;14.70000000
179.03405010;-1107.72433000;6.00000000;6.00000000;14.90000000
184.83198570;-1112.46997000;6.00000000;6.00000000;15.20000000
190.62986610;-1117.21562000;6.00000000;6.00000000;15.40000000
196.80467420;-1121.04697000;6.00000000;6.00000000;15.70000000
202.98847370;-1124.85661000;6.00000000;6.00000000;15.90000000
209.17227510;-1128.66624000;6.00000000;6.00000000;16.20000000
215.71545620;-1131.06081000;6.00000000;6.00000000;16.40000000
222.40049450;-1132.89698000;6.00000000;6.00000000;16.60000000
229.09677560;-1134.65647000;6.00000000;6.00000000;16.80000000
235.84648820;-1136.02163000;6.00000000;6.00000000;17.00000000
242.60103060;-1137.35053000;6.00000000;6.00000000;17.20000000
249.35501450;-1138.67959000;6.00000000;6.00000000;17.60000000
256.11012840;-1140.00866000;6.00000000;6.00000000;17.90000000
262.86468440;-1141.33772000;6.00000000;6.00000000;18.20000000
269.61924510;-1142.66679000;6.00000000;6.00000000;18.50000000
276.37381060;-1143.99586000;6.00000000;6.00000000;18.80000000
283.12785690;-1145.32493000;6.00000000;6.00000000;19.10000000
289.88286570;-1146.65400000;6.00000000;6.00000000;19.30000000
296.63441320;-1148.00993000;6.00000000;6.00000000;19.60000000
303.38475630;-1149.37541000;6.00000000;6.00000000;19.90000000
310.13510420;-1150.74091000;6.00000000;6.00000000;20.10000000
316.88545620;-1152.10655000;6.00000000;6.00000000;20.30000000
323.63581340;-1153.47205000;6.00000000;6.00000000;20.60000000
330.38617540;-1154.83755000;6.00000000;6.00000000;20.80000000
337.13654150;-1156.20320000;6.00000000;6.00000000;21.00000000
343.88691290;-1157.56871000;6.00000000;6.00000000;21.20000000
350.65386570;-1158.78377000;6.00000000;6.00000000;21.40000000
357.42780290;-1159.92956000;6.00000000;6.00000000;21.60000000
364.20200860;-1161.07535000;6.00000000;6.00000000;21.90000000
370.97621920;-1162.22115000;6.00000000;6.00000000;22.10000000
377.75043490;-1163.36694000;6.00000000;6.00000000;22.20000000
384.52465570;-1164.51274000;6.00000000;6.00000000;22.40000000
391.29888140;-1165.65854000;6.00000000;6.00000000;22.50000000
398.07311190;-1166.80434000;6.00000000;6.00000000;22.70000000
404.67775260;-1168.83570000;6.00000000;6.00000000;22.90000000
411.41686570;-1170.22325000;6.00000000;6.00000000;23.00000000
418.17678590;-1171.50669000;6.00000000;6.00000000;23.30000000
424.93661100;-1172.79013000;6.00000000;6.00000000;23.70000000
431.68595610;-1174.15782000;6.00000000;6.00000000;24.00000000
438.40694810;-1175.75354000;6.00000000;6.00000000;24.30000000
445.12794530;-1177.34911000;6.00000000;6.00000000;24.60000000
451.84894700;-1178.94469000;6.00000000;6.00000000;24.90000000
458.57386130;-1180.51126000;6.00000000;6.00000000;25.10000000
465.30627710;-1182.02199000;6.00000000;6.00000000;25.20000000
472.03869760;-1183.53271000;6.00000000;6.00000000;25.30000000
478.77112270;-1185.04344000;6.00000000;6.00000000;25.50000000
485.50213860;-1186.56497000;6.00000000;6.00000000;25.60000000
492.22784550;-1188.13125000;6.00000000;6.00000000;25.70000000
498.95253500;-1189.69753000;6.00000000;6.00000000;25.80000000
505.67728580;-1191.26381000;6.00000000;6.00000000;25.90000000
512.40234400;-1192.83009000;6.00000000;6.00000000;26.10000000
519.12740670;-1194.39637000;6.00000000;6.00000000;26.20000000
525.80386570;-1196.21054000;6.00000000;6.00000000;26.30000000
532.27170010;-1199.09290000;6.00000000;6.00000000;26.40000000
538.74008710;-1201.97264000;6.00000000;6.00000000;26.50000000
545.23107270;-1204.76279000;6.00000000;6.00000000;26.60000000
551.42559450;-1208.35069000;6.00000000;6.00000000;26.70000000
557.08347250;-1213.38151000;6.00000000;6.00000000;26.70000000
562.74134920;-1218.41249000;6.00000000;6.00000000;26.70000000
568.20171740;-1223.80629000;6.00000000;6.00000000;26.80000000
573.63812620;-1229.24432000;6.00000000;6.00000000;26.80000000
579.07453380;-1234.68220000;6.00000000;6.00000000;27.00000000
584.51093920;-1240.12024000;6.00000000;6.00000000;27.10000000
588.32564000;-1247.13724000;6.00000000;6.00000000;27.20000000
592.82797280;-1253.89657000;6.00000000;6.00000000;27.30000000
597.33030030;-1260.65590000;6.00000000;6.00000000;27.40000000
601.83262230;-1267.41524000;6.00000000;6.00000000;27.50000000
606.33493900;-1274.17458000;6.00000000;6.00000000;27.60000000
610.14091280;-1281.63382000;6.00000000;6.00000000;27.80000000
613.89097670;-1289.14921000;6.00000000;6.00000000;28.00000000
617.64103270;-1296.66461000;6.00000000;6.00000000;28.00000000
621.39108080;-1304.18002000;6.00000000;6.00000000;28.00000000
625.14112100;-1311.69543000;6.00000000;6.00000000;28.00000000
628.89115330;-1319.21084000;6.00000000;6.00000000;28.10000000
632.64117730;-1326.72642000;6.00000000;6.00000000;28.20000000
636.39120630;-1334.24185000;6.00000000;6.00000000;28.30000000
640.14123890;-1341.75728000;6.00000000;6.00000000;28.40000000
643.89126360;-1349.27272000;6.00000000;6.00000000;28.50000000
647.64128050;-1356.78817000;6.00000000;6.00000000;28.60000000
651.49275060;-1364.21136000;6.00000000;6.00000000;28.70000000
655.49402460;-1371.49802000;6.00000000;6.00000000;28.80000000
659.49529150;-1378.78468000;6.00000000;6.00000000;28.90000000
663.49655130;-1386.07135000;6.00000000;6.00000000;29.00000000
667.17505440;-1393.56914000;6.00000000;6.00000000;29.00000000
669.14470420;-1402.18450000;6.00000000;6.00000000;29.00000000
671.11369470;-1410.79986000;6.00000000;6.00000000;29.00000000
670.68369700;-1419.66857000;6.00000000;6.00000000;29.10000000
669.84207310;-1428.59789000;6.00000000;6.00000000;29.10000000
668.87555060;-1437.45083000;6.00000000;6.00000000;29.10000000
667.24279560;-1446.19691000;6.00000000;6.00000000;29.20000000
664.68388220;-1454.49471000;6.00000000;6.00000000;29.30000000
661.53075890;-1462.48154000;6.00000000;6.00000000;29.50000000
656.75188360;-1468.82814000;6.00000000;6.00000000;29.60000000
651.55524070;-1474.68563000;6.00000000;6.00000000;29.80000000
645.80670270;-1479.44354000;6.00000000;6.00000000;29.90000000
639.66787620;-1483.40249000;6.00000000;6.00000000;30.00000000
633.06559590;-1485.56677000;6.00000000;6.00000000;30.00000000
626.32261670;-1487.03024000;6.00000000;6.00000000;30.00000000
619.61219450;-1488.72088000;6.00000000;6.00000000;30.00000000
612.93312910;-1490.63050000;6.00000000;6.00000000;30.00000000
606.25346110;-1492.53997000;6.00000000;6.00000000;30.00000000
599.57486570;-1494.44943000;6.00000000;6.00000000;30.00000000
592.89606400;-1496.35905000;6.00000000;6.00000000;30.00000000
586.21691220;-1498.26851000;6.00000000;6.00000000;30.00000000
579.57988260;-1500.41799000;6.00000000;6.00000000;30.00000000
572.94651820;-1502.58847000;6.00000000;6.00000000;30.00000000
566.31315850;-1504.75879000;6.00000000;6.00000000;30.10000000
559.67980240;-1506.92926000;6.00000000;6.00000000;30.20000000
553.01633660;-1508.92829000;6.00000000;6.00000000;30.40000000
546.33985770;-1510.85333000;6.00000000;6.00000000;30.50000000
539.66338350;-1512.77821000;6.00000000;6.00000000;30.70000000
532.98691320;-1514.70325000;6.00000000;6.00000000;30.80000000
526.29816700;-1516.55183000;6.00000000;6.00000000;31.00000000
519.60519130;-1518.37308000;6.00000000;6.00000000;31.00000000
512.91216050;-1520.19447000;6.00000000;6.00000000;31.00000000
506.21913410;-1522.01587000;6.00000000;6.00000000;31.00000000
499.54819270;-1523.97008000;6.00000000;6.00000000;31.00000000
492.89501500;-1526.03132000;6.00000000;6.00000000;31.00000000
486.24159790;-1528.09241000;6.00000000;6.00000000;31.00000000
479.58886570;-1530.15365000;6.00000000;6.00000000;31.10000000
472.97783670;-1532.38420000;6.00000000;6.00000000;31.20000000
466.70388000;-1535.96285000;6.00000000;6.00000000;31.40000000
460.42986570;-1539.54134000;6.00000000;6.00000000;31.50000000
454.15597390;-1543.11998000;6.00000000;6.00000000;31.70000000
447.88202450;-1546.69846000;6.00000000;6.00000000;31.80000000
441.95590550;-1551.05210000;6.00000000;6.00000000;32.00000000
436.55886570;-1556.58718000;6.00000000;6.00000000;32.00000000
431.16396150;-1562.12226000;6.00000000;6.00000000;32.00000000
425.76798730;-1567.65718000;6.00000000;6.00000000;32.00000000
420.37201060;-1573.19224000;6.00000000;6.00000000;32.00000000
414.97603260;-1578.72715000;6.00000000;6.00000000;31.90000000
409.57981960;-1584.26220000;6.00000000;6.00000000;31.90000000
404.32832440;-1590.00027000;6.00000000;6.00000000;31.90000000
399.56378880;-1596.45117000;6.00000000;6.00000000;32.00000000
394.56992260;-1602.60705000;6.00000000;6.00000000;32.10000000
389.57605280;-1608.76292000;6.00000000;6.00000000;32.20000000
384.58217940;-1614.91878000;6.00000000;6.00000000;32.30000000
379.58830250;-1621.07464000;6.00000000;6.00000000;32.40000000
374.59442200;-1627.23049000;6.00000000;6.00000000;32.50000000
369.60053800;-1633.38634000;6.00000000;6.00000000;32.60000000
364.60665050;-1639.54218000;6.00000000;6.00000000;32.80000000
359.76308960;-1645.90306000;6.00000000;6.00000000;32.90000000
354.96103060;-1652.31147000;6.00000000;6.00000000;33.00000000
350.93035740;-1659.59022000;6.00000000;6.00000000;33.10000000
346.89976480;-1666.86913000;6.00000000;6.00000000;33.20000000
342.86912170;-1674.14787000;6.00000000;6.00000000;33.30000000
338.83847100;-1681.42677000;6.00000000;6.00000000;33.40000000
334.80781380;-1688.70550000;6.00000000;6.00000000;33.50000000
330.77714960;-1695.98422000;6.00000000;6.00000000;33.60000000
326.74647780;-1703.26310000;6.00000000;6.00000000;33.80000000
322.71525980;-1710.54181000;6.00000000;6.00000000;34.00000000
318.68511430;-1717.82051000;6.00000000;6.00000000;34.10000000
315.38286570;-1725.68062000;6.00000000;6.00000000;34.10000000
312.34121690;-1733.74941000;6.00000000;6.00000000;34.00000000
309.29986570;-1741.81820000;6.00000000;6.00000000;34.10000000
306.25932150;-1749.88682000;6.00000000;6.00000000;34.10000000
303.21734180;-1757.95559000;6.00000000;6.00000000;34.20000000
300.10686570;-1765.97828000;6.00000000;6.00000000;34.30000000
296.94660490;-1773.96728000;6.00000000;6.00000000;34.40000000
293.78603570;-1781.95627000;6.00000000;6.00000000;34.40000000
290.67383700;-1789.97538000;6.00000000;6.00000000;34.50000000
287.97488470;-1798.25218000;6.00000000;6.00000000;34.60000000
285.27571010;-1806.52897000;6.00000000;6.00000000;34.60000000
282.57694830;-1814.80576000;6.00000000;6.00000000;34.70000000
279.87796420;-1823.08254000;6.00000000;6.00000000;34.80000000
276.86299790;-1831.15182000;6.00000000;6.00000000;34.80000000
273.64775770;-1839.04319000;6.00000000;6.00000000;34.90000000
273.05130130;-1848.01231000;6.00000000;6.00000000;35.00000000
272.45481560;-1856.98159000;6.00000000;6.00000000;35.00000000
272.55481830;-1865.87926000;6.00000000;6.00000000;35.00000000
274.17266880;-1874.62090000;6.00000000;6.00000000;35.00000000
275.79045500;-1883.36254000;6.00000000;6.00000000;35.00000000
278.64546560;-1891.32048000;6.00000000;6.00000000;35.00000000
282.80089720;-1898.45466000;6.00000000;6.00000000;35.00000000
286.95632220;-1905.58884000;6.00000000;6.00000000;35.00000000
292.40718710;-1910.92884000;6.00000000;6.00000000;35.00000000
298.02351910;-1916.03760000;6.00000000;6.00000000;35.10000000
303.64123710;-1921.14637000;6.00000000;6.00000000;35.20000000
310.07846520;-1923.94849000;6.00000000;6.00000000;35.30000000
316.65830140;-1926.35167000;6.00000000;6.00000000;35.40000000
323.28704370;-1928.44276000;6.00000000;6.00000000;35.50000000
330.05627940;-1929.63711000;6.00000000;6.00000000;35.50000000
336.82551980;-1930.83146000;6.00000000;6.00000000;35.50000000
343.59476510;-1932.02581000;6.00000000;6.00000000;35.60000000
350.36401520;-1933.22016000;6.00000000;6.00000000;35.60000000
357.13327010;-1934.41452000;6.00000000;6.00000000;35.60000000
363.86586570;-1935.91992000;6.00000000;6.00000000;35.60000000
370.59908570;-1937.43135000;6.00000000;6.00000000;35.60000000
377.33059430;-1938.94261000;6.00000000;6.00000000;35.50000000
384.06281950;-1940.45389000;6.00000000;6.00000000;35.40000000
390.78557510;-1942.03567000;6.00000000;6.00000000;35.30000000
397.50654810;-1943.63180000;6.00000000;6.00000000;35.20000000
404.22722820;-1945.22793000;6.00000000;6.00000000;35.10000000
410.94806100;-1946.82422000;6.00000000;6.00000000;35.00000000
417.65668820;-1948.50599000;6.00000000;6.00000000;35.00000000
424.36621360;-1950.18050000;6.00000000;6.00000000;35.00000000
431.11653020;-1951.54660000;6.00000000;6.00000000;35.00000000
437.86686570;-1952.91287000;6.00000000;6.00000000;35.00000000
444.60386570;-1954.38790000;6.00000000;6.00000000;35.00000000
451.33589160;-1955.89935000;6.00000000;6.00000000;35.00000000
458.06817040;-1957.41065000;6.00000000;6.00000000;34.90000000
464.80045380;-1958.92195000;6.00000000;6.00000000;34.70000000
471.53274250;-1960.43326000;6.00000000;6.00000000;34.60000000
478.26503560;-1961.94471000;6.00000000;6.00000000;34.50000000
484.99733390;-1963.45602000;6.00000000;6.00000000;34.40000000
491.72963670;-1964.96733000;6.00000000;6.00000000;34.40000000
498.47775970;-1966.34426000;6.00000000;6.00000000;34.30000000
505.24536790;-1967.55547000;6.00000000;6.00000000;34.40000000
512.01298030;-1968.76685000;6.00000000;6.00000000;34.40000000
518.78059810;-1969.97807000;6.00000000;6.00000000;34.40000000
525.52891000;-1971.35361000;6.00000000;6.00000000;34.50000000
532.26124280;-1972.86493000;6.00000000;6.00000000;34.50000000
538.99358030;-1974.37626000;6.00000000;6.00000000;34.50000000
545.72592230;-1975.88759000;6.00000000;6.00000000;34.40000000
552.44840240;-1977.47019000;6.00000000;6.00000000;34.20000000
559.17065670;-1979.05249000;6.00000000;6.00000000;34.10000000
565.90965810;-1980.51214000;6.00000000;6.00000000;34.00000000
572.64866420;-1981.97179000;6.00000000;6.00000000;33.90000000
579.38605360;-1983.44409000;6.00000000;6.00000000;33.80000000
586.11842540;-1984.95543000;6.00000000;6.00000000;33.60000000
592.85080120;-1986.46693000;6.00000000;6.00000000;33.50000000
599.58318210;-1987.97828000;6.00000000;6.00000000;33.40000000
606.31952070;-1989.46185000;6.00000000;6.00000000;33.30000000
613.08652240;-1990.67325000;6.00000000;6.00000000;33.20000000
619.85386570;-1991.88451000;6.00000000;6.00000000;33.00000000
626.62191020;-1993.09576000;6.00000000;6.00000000;32.80000000
633.38303060;-1994.36457000;6.00000000;6.00000000;32.50000000
640.11525790;-1995.87608000;6.00000000;6.00000000;32.20000000
646.84827750;-1997.38744000;6.00000000;6.00000000;32.00000000
653.58009350;-1998.89880000;6.00000000;6.00000000;31.70000000
660.31359630;-2000.39550000;6.00000000;6.00000000;31.40000000
667.08852940;-2001.54196000;6.00000000;6.00000000;31.10000000
673.86230360;-2002.68842000;6.00000000;6.00000000;30.90000000
680.63719710;-2003.83488000;6.00000000;6.00000000;30.60000000
